Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Afrosoricida	Amblysomus hottentotus	84.7	70	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Chrysochloris asiatica	51.48	44	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Echinops telfari	133.9	116.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Geogale aurita	7.728	6.9	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Hemicentetes semispinosus	64.1	133	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Limnogale mergulus	55.9	77.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Afrosoricida	Microgale cowani	31.964	12.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Microgale dobsoni	56.4	44.6	White et al06BiolLett	77.1	42.6	Nagy et al99
Eutheria	Afrosoricida	Microgale talazaci	43.56	44	White et al06BiolLett	66.5	42.8	Nagy et al99
Eutheria	Afrosoricida	Setifer setosus	121.9	530	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Afrosoricida	Tenrec ecaudatus	130.65	650	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Artiodactyla	Alces alces	51419	325000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Antidorcas marsupialis	-9999	-9999	-9999	24100	43300	Nagy et al99
Eutheria	Artiodactyla	Antilocapra americana	9318	37800	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Capreolus capreolus	8308	21500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Cervus elaphus	-9999	-9999	-9999	25000	107000	Haggarty et al98
Eutheria	Artiodactyla	Connochaetes taurinus	41242	196500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Lama pacos	-9999	-9999	-9999	14050	48000	Reik 2008
Eutheria	Artiodactyla	Odocoileus hemionus	-9999	-9999	-9999	18000	39100	Nagy et al99
Eutheria	Artiodactyla	Odocoileus virginianus	25609	58588	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Oryx leucoryx	-9999	-9999	-9999	16578.5	85250	Anderson & Jetz 2005
Eutheria	Artiodactyla	Ovis canadensis	19120	69125	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Pecari tajacu	5945	20500	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Artiodactyla	Rangifer tarandus	-9999	-9999	-9999	15500	52800	Reik 2008
Eutheria	Carnivora	Acinonyx jubatus	8982	37900	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Ailurus fulgens	878.22	5740	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Alopex lagopus	1374	3600	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Arctictis binturong	2284.8	14280	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Arctocephalus galapagoensis	-9999	-9999	-9999	4780	37400	Nagy et al99
Eutheria	Carnivora	Arctocephalus gazella	-9999	-9999	-9999	34600	23000	Nagy et al99
Eutheria	Carnivora	Arctogalidia trivirgata	552.75	2010	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Bassariscus astutus	-9999	-9999	-9999	472	752	Nagy et al99
Eutheria	Carnivora	Bassariscus sumichrasti	633.6	1280	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Callorhinus ursinus	-9999	-9999	-9999	36100	51100	Nagy et al99
Eutheria	Carnivora	Canis latrans	2686.57	10000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Canis lupus	8080	33000	McNab2005ZoolSinica	17700	37300	Nagy et al99
Eutheria	Carnivora	Canis mesomelas	3860	7720	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Cerdocyon thous	1524.32	5444	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Eira barbara	1221.3	2950	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis concolor (Puma concolor)	8841.7	37200	White et al06BiolLett	-9999	-9999	-9999
